,"(p,d,q,P,D,Q,s)",AIC
225,"(2, 1, 4, 4, 1, 1, 12)",278.2397165356529
226,"(2, 1, 0, 1, 1, 4, 12)",278.24289051011806
227,"(3, 1, 3, 4, 1, 1, 12)",278.2490055629272
228,"(4, 1, 4, 0, 1, 4, 12)",278.28225307026764
229,"(3, 1, 0, 1, 1, 3, 12)",278.2957186816477
230,"(1, 1, 2, 2, 1, 0, 12)",278.3014931607284
231,"(1, 1, 1, 2, 1, 1, 12)",278.30409285152484
232,"(1, 1, 1, 3, 1, 0, 12)",278.31667273201833
233,"(1, 1, 1, 1, 1, 2, 12)",278.3345860568671
234,"(0, 1, 4, 4, 1, 4, 12)",278.35764810890305
235,"(1, 1, 4, 0, 1, 4, 12)",278.36340686033634
236,"(1, 1, 4, 2, 1, 1, 12)",278.37899062597404
237,"(0, 1, 2, 0, 1, 4, 12)",278.38489043728583
238,"(1, 1, 4, 3, 1, 0, 12)",278.3892415806656
239,"(2, 1, 4, 3, 1, 2, 12)",278.4109519439071
240,"(3, 1, 3, 3, 1, 2, 12)",278.4225796064824
241,"(0, 1, 1, 4, 1, 3, 12)",278.42512813290443
242,"(1, 1, 4, 1, 1, 1, 12)",278.4358092741064
243,"(0, 1, 3, 4, 1, 2, 12)",278.46684481663397
244,"(2, 1, 3, 1, 1, 0, 12)",278.49827855977105
245,"(1, 1, 1, 4, 1, 2, 12)",278.4988487091386
246,"(2, 1, 3, 1, 1, 1, 12)",278.50465251866694
247,"(4, 1, 1, 4, 1, 0, 12)",278.5056908852511
248,"(0, 1, 3, 2, 1, 1, 12)",278.5181668433496
249,"(0, 1, 3, 3, 1, 0, 12)",278.5580141298582
250,"(0, 1, 2, 2, 1, 1, 12)",278.5663211378
251,"(4, 1, 2, 2, 1, 1, 12)",278.58325484961006
252,"(0, 1, 2, 3, 1, 0, 12)",278.5887171521116
253,"(4, 1, 1, 3, 1, 4, 12)",278.58942413451956
254,"(4, 1, 3, 0, 1, 3, 12)",278.59309120786986
255,"(0, 1, 2, 1, 1, 2, 12)",278.5948499943526
256,"(4, 1, 1, 2, 1, 2, 12)",278.6078421603618
257,"(0, 1, 3, 1, 1, 2, 12)",278.6090521133269
258,"(2, 1, 1, 0, 1, 2, 12)",278.6277676817555
259,"(4, 1, 1, 3, 1, 1, 12)",278.63251089924006
260,"(3, 1, 2, 4, 1, 0, 12)",278.637466039758
261,"(3, 1, 4, 3, 1, 4, 12)",278.6438967277269
262,"(1, 1, 4, 1, 1, 2, 12)",278.6472827492504
263,"(2, 1, 2, 2, 1, 3, 12)",278.6606981794476
264,"(0, 1, 2, 4, 1, 2, 12)",278.6866291168154
265,"(4, 1, 2, 3, 1, 0, 12)",278.7007963215293
266,"(3, 1, 2, 2, 1, 2, 12)",278.71363617045984
267,"(4, 1, 2, 0, 1, 2, 12)",278.7281448007777
268,"(3, 1, 2, 3, 1, 1, 12)",278.7298100958691
269,"(2, 1, 2, 0, 1, 1, 12)",278.76701869648065
270,"(1, 1, 2, 3, 1, 3, 12)",278.7762153017765
271,"(2, 1, 3, 1, 1, 4, 12)",278.782173777905
272,"(3, 1, 2, 3, 1, 4, 12)",278.7943734832596
273,"(2, 1, 1, 2, 1, 4, 12)",278.79680953179195
274,"(0, 1, 4, 4, 1, 0, 12)",278.8221908073457
275,"(0, 1, 4, 4, 1, 2, 12)",278.8382219814912
276,"(4, 1, 3, 1, 1, 4, 12)",278.84571272591575
277,"(4, 1, 4, 4, 1, 0, 12)",278.8511537702015
278,"(4, 1, 4, 3, 1, 1, 12)",278.8626772470104
279,"(3, 1, 1, 4, 1, 3, 12)",278.89517801284677
280,"(3, 1, 4, 4, 1, 4, 12)",278.9429713011466
281,"(0, 1, 1, 4, 1, 0, 12)",278.9480013351214
282,"(4, 1, 2, 0, 1, 4, 12)",278.9798854313342
283,"(0, 1, 1, 1, 1, 0, 12)",278.980728146935
284,"(0, 1, 4, 2, 1, 2, 12)",279.0030353623685
285,"(1, 1, 2, 2, 1, 4, 12)",279.0102585606784
286,"(0, 1, 1, 4, 1, 4, 12)",279.05779028501286
287,"(2, 1, 3, 0, 1, 3, 12)",279.06660892348043
288,"(2, 1, 2, 1, 1, 4, 12)",279.0958123280822
289,"(4, 1, 4, 2, 1, 2, 12)",279.10554849964507
290,"(3, 1, 2, 1, 1, 0, 12)",279.12898557488376
291,"(2, 1, 1, 0, 1, 3, 12)",279.13081704390976
292,"(2, 1, 1, 0, 1, 4, 12)",279.13689646595145
293,"(2, 1, 2, 2, 1, 0, 12)",279.13925975033465
294,"(2, 1, 1, 1, 1, 1, 12)",279.1556378305969
295,"(4, 1, 4, 2, 1, 4, 12)",279.169816039404
296,"(2, 1, 0, 2, 1, 0, 12)",279.17288824667366
297,"(4, 1, 2, 1, 1, 2, 12)",279.18667966506234
298,"(0, 1, 4, 3, 1, 1, 12)",279.187657724506
299,"(4, 1, 4, 4, 1, 4, 12)",279.20080506177516
300,"(4, 1, 2, 1, 1, 1, 12)",279.2222511218456
301,"(4, 1, 3, 2, 1, 3, 12)",279.22338985054785
302,"(0, 1, 4, 3, 1, 4, 12)",279.27079492270593
303,"(4, 1, 0, 1, 1, 4, 12)",279.2781444866315
304,"(1, 1, 2, 0, 1, 2, 12)",279.28575826976345
305,"(2, 1, 3, 3, 1, 0, 12)",279.30134646427683
306,"(4, 1, 1, 1, 1, 0, 12)",279.3479647238081
307,"(1, 1, 1, 1, 1, 0, 12)",279.40978410193236
308,"(1, 1, 2, 0, 1, 3, 12)",279.41398345255124
309,"(4, 1, 0, 2, 1, 0, 12)",279.4702159339307
310,"(0, 1, 1, 3, 1, 1, 12)",279.48182711549356
311,"(0, 1, 1, 2, 1, 2, 12)",279.5085459636017
312,"(1, 1, 2, 1, 1, 1, 12)",279.5228502303095
313,"(1, 1, 3, 2, 1, 3, 12)",279.54430521502104
314,"(2, 1, 3, 2, 1, 1, 12)",279.589408423852
315,"(0, 1, 2, 1, 1, 0, 12)",279.5944461960056
316,"(1, 1, 3, 1, 1, 4, 12)",279.60300146931775
317,"(3, 1, 0, 2, 1, 3, 12)",279.61709335010585
318,"(4, 1, 0, 0, 1, 1, 12)",279.62386761909227
319,"(4, 1, 3, 3, 1, 0, 12)",279.62700416867324
320,"(2, 1, 1, 2, 1, 1, 12)",279.64264777426104
321,"(2, 1, 3, 2, 1, 3, 12)",279.64623567897746
322,"(4, 1, 4, 3, 1, 4, 12)",279.6526987021301
323,"(0, 1, 4, 4, 1, 3, 12)",279.66760405916034
324,"(3, 1, 4, 4, 1, 2, 12)",279.6695419100097
325,"(1, 1, 1, 4, 1, 3, 12)",279.7112485002214
326,"(2, 1, 1, 3, 1, 0, 12)",279.7118930611917
327,"(2, 1, 0, 0, 1, 3, 12)",279.71747613191786
328,"(3, 1, 1, 4, 1, 1, 12)",279.7715108179415
