,"(p,d,q,P,D,Q,s)",AIC
157,"(2, 1, 3, 1, 1, 1, 12)",901.8699346606102
158,"(2, 1, 1, 2, 1, 2, 12)",901.9106158090789
159,"(1, 1, 3, 2, 1, 0, 12)",901.9284170740899
160,"(2, 1, 3, 1, 1, 0, 12)",901.9286170948878
161,"(1, 1, 1, 1, 1, 0, 12)",902.0255305835801
162,"(1, 1, 1, 2, 1, 0, 12)",902.0373600184478
163,"(2, 1, 2, 0, 1, 2, 12)",902.0719651545683
164,"(2, 1, 3, 0, 1, 1, 12)",902.0877858496556
165,"(1, 1, 3, 0, 1, 2, 12)",902.0978339149324
166,"(3, 1, 3, 1, 1, 1, 12)",902.1502338507626
167,"(0, 1, 3, 3, 1, 0, 12)",902.189151623186
168,"(1, 1, 1, 0, 1, 1, 12)",902.2211526446337
169,"(1, 1, 1, 0, 1, 2, 12)",902.2383540497194
170,"(2, 1, 0, 2, 1, 0, 12)",902.288867810217
171,"(2, 1, 0, 1, 1, 0, 12)",902.331273139686
172,"(3, 1, 0, 1, 1, 1, 12)",902.3497851792038
173,"(1, 1, 0, 0, 1, 3, 12)",902.3542626253736
174,"(0, 1, 2, 0, 1, 0, 12)",902.3945571878154
175,"(2, 1, 0, 0, 1, 2, 12)",902.4584658551712
176,"(0, 1, 2, 1, 1, 1, 12)",902.4602484425661
177,"(3, 1, 2, 3, 1, 1, 12)",902.4934027466161
178,"(0, 1, 3, 0, 1, 3, 12)",902.5156027398735
179,"(3, 1, 2, 1, 1, 1, 12)",902.54067383854
180,"(2, 1, 0, 0, 1, 1, 12)",902.5418891078043
181,"(0, 1, 0, 2, 1, 2, 12)",902.5658598240377
182,"(3, 1, 0, 1, 1, 0, 12)",902.5891734738736
183,"(3, 1, 2, 1, 1, 0, 12)",902.5939574147042
184,"(0, 1, 1, 3, 1, 0, 12)",902.7138951602524
185,"(3, 1, 0, 0, 1, 1, 12)",902.7539616724963
186,"(3, 1, 3, 0, 1, 0, 12)",902.7862884575188
187,"(0, 1, 0, 1, 1, 2, 12)",902.8074430662758
188,"(3, 1, 2, 0, 1, 1, 12)",902.8193673063862
189,"(2, 1, 3, 2, 1, 0, 12)",902.8460546101837
190,"(3, 1, 0, 2, 1, 0, 12)",902.9116982210176
191,"(3, 1, 3, 0, 1, 2, 12)",902.951092506227
192,"(1, 1, 2, 0, 1, 0, 12)",902.9596967794151
193,"(2, 1, 1, 0, 1, 0, 12)",902.9665078743654
194,"(2, 1, 3, 0, 1, 2, 12)",902.9933227526316
195,"(3, 1, 3, 2, 1, 0, 12)",903.0303941039633
196,"(3, 1, 1, 2, 1, 0, 12)",903.1202901929144
197,"(3, 1, 0, 0, 1, 2, 12)",903.1820914957872
198,"(0, 1, 2, 1, 1, 0, 12)",903.2392418110107
199,"(0, 1, 1, 0, 1, 3, 12)",903.2865942279747
200,"(1, 1, 1, 3, 1, 0, 12)",903.2904845367362
201,"(3, 1, 1, 0, 1, 3, 12)",903.2911231128753
202,"(3, 1, 1, 0, 1, 2, 12)",903.3198498055314
203,"(2, 1, 2, 3, 1, 0, 12)",903.3217499451777
204,"(0, 1, 2, 2, 1, 0, 12)",903.3572282566855
205,"(0, 1, 0, 1, 1, 3, 12)",903.3997507994358
206,"(2, 1, 1, 1, 1, 1, 12)",903.3999461850457
207,"(1, 1, 2, 1, 1, 1, 12)",903.3999814487863
208,"(2, 1, 0, 3, 1, 0, 12)",903.40458671295
209,"(0, 1, 2, 0, 1, 2, 12)",903.4437724023708
210,"(0, 1, 2, 0, 1, 1, 12)",903.4743407373218
211,"(3, 1, 2, 3, 1, 2, 12)",903.6071527847153
212,"(2, 1, 2, 0, 1, 3, 12)",903.7141080709587
213,"(1, 1, 3, 3, 1, 0, 12)",903.7962588179922
214,"(1, 1, 1, 0, 1, 3, 12)",903.9058279561342
215,"(3, 1, 2, 2, 1, 2, 12)",903.9292057845023
