,"(p,d,q,P,D,Q,s)",AIC
205,"(2, 1, 3, 1, 0, 2, 4)",1757.38035462189
206,"(0, 1, 0, 1, 0, 1, 4)",1757.381234018953
207,"(3, 1, 0, 3, 0, 1, 4)",1757.432095980196
208,"(2, 1, 3, 1, 0, 3, 4)",1757.5333533618996
209,"(2, 1, 0, 1, 0, 2, 4)",1757.5441530660612
210,"(0, 1, 3, 0, 0, 3, 4)",1757.5747558083406
211,"(0, 1, 0, 2, 0, 1, 4)",1757.6333043209268
212,"(3, 1, 2, 1, 0, 2, 4)",1757.6637643285924
213,"(0, 1, 0, 1, 0, 3, 4)",1757.7265988266768
214,"(1, 1, 0, 0, 0, 1, 4)",1757.7321500155317
215,"(2, 1, 0, 1, 0, 3, 4)",1757.7399480179406
216,"(3, 1, 2, 1, 0, 3, 4)",1757.75862587164
217,"(0, 1, 2, 1, 0, 2, 4)",1757.824979142939
218,"(0, 1, 1, 0, 0, 1, 4)",1757.8356936368882
219,"(0, 1, 3, 3, 0, 3, 4)",1757.934049677806
220,"(0, 1, 2, 1, 0, 3, 4)",1757.969606992649
221,"(2, 1, 0, 0, 0, 0, 4)",1758.0680242561377
222,"(0, 1, 0, 1, 0, 2, 4)",1758.215694739658
223,"(0, 1, 3, 1, 0, 2, 4)",1758.3429011807316
224,"(1, 1, 0, 0, 0, 2, 4)",1758.4002655981897
225,"(2, 1, 3, 3, 0, 1, 4)",1758.4008322403947
226,"(2, 1, 0, 3, 0, 1, 4)",1758.4262821078855
227,"(0, 1, 1, 0, 0, 2, 4)",1758.4377679073561
228,"(3, 1, 2, 3, 0, 1, 4)",1758.6014463652014
229,"(0, 1, 3, 1, 0, 3, 4)",1758.6068685405787
230,"(0, 1, 2, 3, 0, 1, 4)",1758.7468206973094
231,"(0, 1, 1, 3, 0, 3, 4)",1758.8068320085895
232,"(1, 1, 0, 3, 0, 0, 4)",1758.822348388835
233,"(0, 1, 1, 3, 0, 0, 4)",1758.866753817396
234,"(1, 1, 0, 3, 0, 3, 4)",1758.9221999842184
235,"(1, 1, 0, 0, 0, 3, 4)",1759.055606384736
236,"(1, 1, 0, 2, 0, 0, 4)",1759.0828375085066
237,"(0, 1, 1, 0, 0, 3, 4)",1759.0988497247126
